vi	V(n003)	I(Rc)	I(Rb)
1.500000000000001e+00	6.622612e-01	2.679793e-03	8.377388e-06
1.510000000000001e+00	6.625759e-01	2.710035e-03	8.474241e-06
1.520000000000001e+00	6.628873e-01	2.740271e-03	8.571127e-06
1.530000000000001e+00	6.631954e-01	2.770500e-03	8.668047e-06
1.540000000000001e+00	6.635004e-01	2.800722e-03	8.764997e-06
1.550000000000001e+00	6.638022e-01	2.830937e-03	8.861978e-06
1.560000000000001e+00	6.641010e-01	2.861144e-03	8.958990e-06
1.570000000000001e+00	6.643968e-01	2.891344e-03	9.056032e-06
1.580000000000001e+00	6.646897e-01	2.921536e-03	9.153103e-06
1.590000000000001e+00	6.649797e-01	2.951720e-03	9.250203e-06
1.600000000000001e+00	6.652669e-01	2.981896e-03	9.347331e-06
1.610000000000001e+00	6.655514e-01	3.012063e-03	9.444486e-06
1.620000000000001e+00	6.658332e-01	3.042222e-03	9.541668e-06
1.630000000000001e+00	6.661123e-01	3.072372e-03	9.638878e-06
1.640000000000001e+00	6.663888e-01	3.102513e-03	9.736112e-06
1.650000000000001e+00	6.666628e-01	3.132646e-03	9.833372e-06
1.660000000000001e+00	6.669343e-01	3.162769e-03	9.930657e-06
1.670000000000001e+00	6.672033e-01	3.192883e-03	1.002797e-05
1.680000000000001e+00	6.674699e-01	3.222988e-03	1.012530e-05
1.690000000000001e+00	6.677342e-01	3.253083e-03	1.022266e-05
1.700000000000001e+00	6.679962e-01	3.283169e-03	1.032004e-05
1.710000000000001e+00	6.682559e-01	3.313245e-03	1.041744e-05
1.720000000000001e+00	6.685133e-01	3.343311e-03	1.051487e-05
1.730000000000001e+00	6.687685e-01	3.373367e-03	1.061231e-05
1.740000000000001e+00	6.690216e-01	3.403413e-03	1.070978e-05
1.750000000000001e+00	6.692726e-01	3.433449e-03	1.080727e-05
1.760000000000001e+00	6.695215e-01	3.463474e-03	1.090479e-05
1.770000000000001e+00	6.697683e-01	3.493489e-03	1.100232e-05
1.780000000000001e+00	6.700132e-01	3.523494e-03	1.109987e-05
1.790000000000001e+00	6.702560e-01	3.553488e-03	1.119744e-05
1.800000000000001e+00	6.704969e-01	3.583471e-03	1.129503e-05
1.810000000000001e+00	6.707359e-01	3.613443e-03	1.139264e-05
1.820000000000001e+00	6.709730e-01	3.643405e-03	1.149027e-05
1.830000000000001e+00	6.712083e-01	3.673355e-03	1.158792e-05
1.840000000000001e+00	6.714417e-01	3.703295e-03	1.168558e-05
1.850000000000001e+00	6.716734e-01	3.733223e-03	1.178327e-05
1.860000000000001e+00	6.719033e-01	3.763140e-03	1.188097e-05
1.870000000000001e+00	6.721314e-01	3.793046e-03	1.197869e-05
1.880000000000001e+00	6.723579e-01	3.822941e-03	1.207642e-05
1.890000000000001e+00	6.725826e-01	3.852824e-03	1.217417e-05
1.900000000000001e+00	6.728057e-01	3.882696e-03	1.227194e-05
1.910000000000001e+00	6.730272e-01	3.912556e-03	1.236973e-05
1.920000000000001e+00	6.732470e-01	3.942404e-03	1.246753e-05
1.930000000000001e+00	6.734653e-01	3.972241e-03	1.256535e-05
1.940000000000002e+00	6.736820e-01	4.002066e-03	1.266318e-05
1.950000000000002e+00	6.738973e-01	4.031880e-03	1.276103e-05
1.960000000000002e+00	6.741109e-01	4.061681e-03	1.285889e-05
1.970000000000002e+00	6.743231e-01	4.091471e-03	1.295677e-05
1.980000000000002e+00	6.745338e-01	4.121248e-03	1.305466e-05
1.990000000000002e+00	6.747431e-01	4.151014e-03	1.315257e-05
2.000000000000001e+00	6.749510e-01	4.180767e-03	1.325049e-05
2.010000000000001e+00	6.751574e-01	4.210508e-03	1.334843e-05
2.020000000000001e+00	6.753625e-01	4.240238e-03	1.344638e-05
2.030000000000001e+00	6.755662e-01	4.269955e-03	1.354434e-05
2.040000000000000e+00	6.757685e-01	4.299659e-03	1.364232e-05
2.050000000000000e+00	6.759695e-01	4.329352e-03	1.374030e-05
2.060000000000000e+00	6.761692e-01	4.359032e-03	1.383831e-05
2.070000000000000e+00	6.763676e-01	4.388699e-03	1.393632e-05
2.080000000000000e+00	6.765648e-01	4.418354e-03	1.403435e-05
2.089999999999999e+00	6.767607e-01	4.447998e-03	1.413239e-05
2.099999999999999e+00	6.769553e-01	4.477628e-03	1.423045e-05
2.109999999999999e+00	6.771487e-01	4.507245e-03	1.432851e-05
2.119999999999999e+00	6.773409e-01	4.536850e-03	1.442659e-05
2.129999999999999e+00	6.775320e-01	4.566443e-03	1.452468e-05
2.139999999999998e+00	6.777218e-01	4.596023e-03	1.462278e-05
2.149999999999998e+00	6.779104e-01	4.625590e-03	1.472090e-05
2.159999999999998e+00	6.780980e-01	4.655144e-03	1.481902e-05
2.169999999999998e+00	6.782843e-01	4.684686e-03	1.491716e-05
2.179999999999997e+00	6.784697e-01	4.714215e-03	1.501530e-05
2.189999999999997e+00	6.786538e-01	4.743731e-03	1.511346e-05
2.199999999999997e+00	6.788369e-01	4.773234e-03	1.521163e-05
2.209999999999997e+00	6.790189e-01	4.802725e-03	1.530981e-05
2.219999999999997e+00	6.791999e-01	4.832202e-03	1.540800e-05
2.229999999999996e+00	6.793798e-01	4.861667e-03	1.550620e-05
2.239999999999996e+00	6.795586e-01	4.891119e-03	1.560441e-05
2.249999999999996e+00	6.797364e-01	4.920557e-03	1.570264e-05
