VDD	I(RB)
Step Information: V1=0  (Step: 1/6)
2.420000000000000e+00	-2.485727e-12
2.430000000000000e+00	-1.076478e-12
2.440000000000000e+00	-1.086478e-12
2.450000000000000e+00	-2.515727e-12
2.460000000000000e+00	-2.525727e-12
2.470000000000000e+00	-1.116478e-12
2.480000000000000e+00	-1.126478e-12
2.490000000000000e+00	-2.555727e-12
2.500000000000000e+00	-2.565727e-12
2.510000000000000e+00	-1.156478e-12
2.520000000000000e+00	-1.166478e-12
2.530000000000000e+00	-2.595727e-12
2.540000000000000e+00	-2.605727e-12
2.550000000000000e+00	-1.196478e-12
2.560000000000000e+00	-1.206478e-12
2.570000000000000e+00	-2.635727e-12
2.580000000000000e+00	-2.645727e-12
2.590000000000000e+00	-1.236478e-12
2.600000000000000e+00	-1.246478e-12
2.610000000000000e+00	-2.675727e-12
2.620000000000000e+00	-2.685727e-12
2.630000000000000e+00	-1.276478e-12
2.640000000000000e+00	-1.286478e-12
2.650000000000000e+00	-2.715727e-12
2.660000000000000e+00	-2.725727e-12
2.670000000000000e+00	-1.316478e-12
2.680000000000000e+00	-1.326478e-12
2.690000000000000e+00	-2.755727e-12
2.700000000000000e+00	-2.765727e-12
2.710000000000000e+00	-1.356478e-12
2.720000000000000e+00	-1.366478e-12
2.730000000000000e+00	-2.795727e-12
2.740000000000000e+00	-2.805727e-12
2.750000000000000e+00	-1.396478e-12
2.760000000000000e+00	-1.406478e-12
2.770000000000000e+00	-2.835727e-12
2.780000000000000e+00	-2.845727e-12
2.790000000000000e+00	-1.436478e-12
2.800000000000000e+00	-1.446478e-12
2.810000000000000e+00	-2.875727e-12
2.820000000000000e+00	-2.885727e-12
2.830000000000000e+00	-1.476478e-12
2.840000000000000e+00	-1.486478e-12
2.850000000000000e+00	-2.915727e-12
2.860000000000000e+00	-2.925727e-12
2.870000000000000e+00	-1.516478e-12
2.880000000000000e+00	-1.526478e-12
2.890000000000000e+00	-2.955727e-12
2.900000000000000e+00	-2.965727e-12
2.910000000000000e+00	-1.556478e-12
2.920000000000000e+00	-1.566478e-12
2.930000000000000e+00	-2.995727e-12
2.940000000000000e+00	-3.005727e-12
2.950000000000000e+00	-1.596478e-12
2.960000000000000e+00	-1.606478e-12
2.970000000000000e+00	-3.035727e-12
2.980000000000000e+00	-3.045727e-12
2.990000000000000e+00	-1.636478e-12
3.000000000000000e+00	-1.646478e-12
3.010000000000000e+00	-3.075727e-12
3.020000000000000e+00	-3.085727e-12
3.030000000000000e+00	-1.676478e-12
3.040000000000000e+00	-1.686478e-12
3.050000000000000e+00	-3.115727e-12
3.060000000000000e+00	-3.125727e-12
3.070000000000000e+00	-1.716478e-12
3.080000000000000e+00	-1.726478e-12
3.090000000000000e+00	-3.155727e-12
3.100000000000000e+00	-3.165727e-12
3.110000000000000e+00	-1.756478e-12
3.120000000000000e+00	-1.766478e-12
3.130000000000000e+00	-3.195727e-12
3.140000000000000e+00	-3.205727e-12
3.150000000000000e+00	-1.796478e-12
3.160000000000000e+00	-1.806478e-12
3.170000000000000e+00	-3.235727e-12
3.180000000000000e+00	-3.245727e-12
3.190000000000000e+00	-1.836478e-12
3.200000000000000e+00	-1.846478e-12
3.210000000000000e+00	-3.275727e-12
3.220000000000000e+00	-3.285727e-12
3.230000000000000e+00	-1.876478e-12
3.240000000000000e+00	-1.886478e-12
3.250000000000000e+00	-3.315727e-12
3.260000000000000e+00	-3.325727e-12
3.270000000000000e+00	-1.916478e-12
3.280000000000000e+00	-1.926478e-12
3.290000000000000e+00	-3.355727e-12
3.300000000000000e+00	-3.365727e-12
3.310000000000000e+00	-1.956478e-12
3.320000000000000e+00	-1.966478e-12
3.330000000000000e+00	-3.395727e-12
3.340000000000000e+00	-3.405727e-12
3.350000000000000e+00	-1.996478e-12
3.360000000000000e+00	-2.006478e-12
3.370000000000000e+00	-3.435727e-12
3.380000000000000e+00	-3.445727e-12
3.390000000000000e+00	-2.036478e-12
3.400000000000000e+00	-2.046478e-12
3.410000000000000e+00	-3.475727e-12
3.420000000000000e+00	-3.485727e-12
3.430000000000000e+00	-2.076478e-12
3.440000000000000e+00	-2.086478e-12
3.450000000000000e+00	-3.515727e-12
3.460000000000000e+00	-3.525727e-12
3.470000000000000e+00	-2.116478e-12
3.480000000000000e+00	-2.126478e-12
3.490000000000000e+00	-3.555727e-12
3.500000000000000e+00	-3.565727e-12
3.510000000000000e+00	-2.156478e-12
3.520000000000000e+00	-2.166478e-12
3.530000000000000e+00	-3.595727e-12
3.540000000000000e+00	-3.605727e-12
3.550000000000000e+00	-2.196478e-12
3.560000000000000e+00	-2.206478e-12
3.570000000000000e+00	-3.635727e-12
3.580000000000000e+00	-3.645727e-12
3.590000000000000e+00	-2.236478e-12
3.600000000000000e+00	-2.246478e-12
3.610000000000000e+00	-3.675727e-12
3.620000000000000e+00	-3.685727e-12
3.630000000000000e+00	-2.276478e-12
3.640000000000000e+00	-2.286478e-12
3.650000000000000e+00	-3.715727e-12
3.660000000000000e+00	-3.725727e-12
3.670000000000000e+00	-2.316478e-12
3.680000000000000e+00	-2.326478e-12
3.690000000000000e+00	-3.755727e-12
3.700000000000000e+00	-3.765727e-12
3.710000000000000e+00	-2.356478e-12
3.720000000000000e+00	-2.366478e-12
3.730000000000000e+00	-3.795727e-12
3.740000000000000e+00	-3.805727e-12
3.750000000000000e+00	-2.396478e-12
3.760000000000000e+00	-2.406478e-12
3.770000000000000e+00	-3.835727e-12
3.780000000000000e+00	-3.845727e-12
3.790000000000000e+00	-2.436478e-12
3.800000000000000e+00	-2.446478e-12
3.810000000000000e+00	-3.875727e-12
3.820000000000000e+00	-3.885727e-12
3.830000000000000e+00	-2.476478e-12
3.840000000000000e+00	-2.486478e-12
3.850000000000000e+00	-3.915727e-12
3.860000000000000e+00	-3.925727e-12
3.870000000000000e+00	-2.516478e-12
3.880000000000000e+00	-2.526478e-12
3.890000000000000e+00	-3.955727e-12
3.900000000000000e+00	-3.965727e-12
3.910000000000000e+00	-2.556478e-12
3.920000000000000e+00	-2.566478e-12
3.930000000000000e+00	-3.995727e-12
3.940000000000000e+00	-4.005727e-12
3.950000000000000e+00	-2.596478e-12
3.960000000000000e+00	-2.606478e-12
3.970000000000000e+00	-4.035727e-12
3.980000000000000e+00	-4.045727e-12
3.990000000000000e+00	-2.636478e-12
4.000000000000000e+00	-2.646478e-12
4.010000000000000e+00	-4.075727e-12
4.020000000000000e+00	-4.085727e-12
4.030000000000000e+00	-2.676478e-12
4.040000000000000e+00	-2.686478e-12
4.050000000000000e+00	-4.115727e-12
4.060000000000000e+00	-4.125727e-12
4.070000000000000e+00	-2.716478e-12
4.080000000000000e+00	-2.726478e-12
4.090000000000000e+00	-4.155727e-12
4.100000000000000e+00	-4.165727e-12
4.110000000000000e+00	-2.756478e-12
4.120000000000000e+00	-2.766478e-12
4.130000000000000e+00	-4.195727e-12
4.140000000000000e+00	-4.205727e-12
4.150000000000000e+00	-2.796478e-12
4.160000000000000e+00	-2.806478e-12
4.170000000000000e+00	-4.235727e-12
4.180000000000000e+00	-4.245727e-12
4.190000000000000e+00	-2.836478e-12
4.200000000000000e+00	-2.846478e-12
4.210000000000000e+00	-4.275727e-12
4.220000000000000e+00	-4.285727e-12
4.230000000000000e+00	-2.876478e-12
4.240000000000000e+00	-2.886478e-12
4.250000000000000e+00	-4.315727e-12
4.260000000000000e+00	-4.325727e-12
4.270000000000000e+00	-2.916478e-12
4.280000000000000e+00	-2.926478e-12
4.290000000000000e+00	-4.355727e-12
4.300000000000000e+00	-4.365727e-12
4.310000000000000e+00	-2.956478e-12
4.320000000000000e+00	-2.966478e-12
4.330000000000000e+00	-4.395727e-12
4.340000000000000e+00	-4.405727e-12
4.350000000000001e+00	-2.996478e-12
4.360000000000000e+00	-3.006478e-12
4.370000000000000e+00	-4.435727e-12
4.380000000000000e+00	-4.445727e-12
4.390000000000000e+00	-3.036478e-12
4.400000000000000e+00	-3.046478e-12
4.410000000000000e+00	-4.475727e-12
