V(CE_0)	I(C0)	V(CE_1)	I(C1)	V(CE2)	I(C2)	V(CE3)	I(C3)	V(CE4)	I(C4)	V(CE5)	I(C5)
0.89	9.798698E-13	0.6862869	0.001018566	0.1924598	0.003487701	0.120815	0.003845925	0.1025601	0.0039372	0.09211063	0.003989447
0.9	9.897965E-13	0.696254	0.00101873	0.1974384	0.003512808	0.1216979	0.003891511	0.1031812	0.003984094	0.09263927	0.004036804
0.91	-4.194031E-13	0.7062211	0.001018894	0.2028419	0.00353579	0.1225872	0.003937064	0.1038017	0.004030991	0.09316611	0.004084169
0.92	-4.093458E-13	0.7161883	0.001019059	0.208704	0.00355648	0.1234834	0.003982583	0.1044218	0.004077891	0.09369121	0.004131544
0.93	1.019838E-12	0.7261553	0.001019223	0.2150501	0.003574749	0.124387	0.004028065	0.1050416	0.004124792	0.09421464	0.004178927
0.94	1.029895E-12	0.7361225	0.001019388	0.2218919	0.00359054	0.1252984	0.004073508	0.1056611	0.004171694	0.0947365	0.004226318
0.95	-3.79435E-13	0.7460896	0.001019552	0.2292237	0.003603881	0.126218	0.00411891	0.1062806	0.004218597	0.09525684	0.004273716
0.96	-3.695084E-13	0.7560567	0.001019716	0.2370198	0.003614897	0.1271465	0.004164267	0.1069001	0.004265499	0.09577575	0.004321121
0.97	1.059806E-12	0.7660239	0.001019881	0.2452397	0.003623799	0.1280843	0.004209578	0.1075198	0.004312401	0.09629328	0.004368533
0.98	1.069863E-12	0.775991	0.001020045	0.2538272	0.003630862	0.1290321	0.004254839	0.1081396	0.004359302	0.09680951	0.004415953
0.99	-3.39467E-13	0.7859581	0.00102021	0.2627218	0.00363639	0.1299903	0.004300048	0.1087599	0.0044062	0.09732451	0.004463377
1	-3.294097E-13	0.7959252	0.001020374	0.2718635	0.003640682	0.1309597	0.004345201	0.1093807	0.004453097	0.09783835	0.004510808
1.01	1.100035E-12	0.8058923	0.001020538	0.2811982	0.003644009	0.1319409	0.004390296	0.110002	0.00449999	0.09835109	0.004558245
1.02	1.109962E-12	0.8158595	0.001020703	0.2906798	0.003646601	0.1329346	0.004435327	0.1106241	0.004546879	0.09886279	0.004605686
1.03	-2.996296E-13	0.8258266	0.001020867	0.3002713	0.003648644	0.1339415	0.004480293	0.111247	0.004593765	0.09937353	0.004653133
1.04	-2.894417E-13	0.8357937	0.001021031	0.3099436	0.003650282	0.1349625	0.004525188	0.1118709	0.004640646	0.09988336	0.004700583
1.05	1.139742E-12	0.8457609	0.001021196	0.3196748	0.003651626	0.1359983	0.004570009	0.1124958	0.004687521	0.1003923	0.004748038
1.06	1.149669E-12	0.855728	0.00102136	0.3294486	0.003652757	0.1370499	0.004614751	0.1131219	0.00473439	0.1009005	0.004795497
1.07	-2.594004E-13	0.8656951	0.001021524	0.3392532	0.003653734	0.1381181	0.004659409	0.1137494	0.004781253	0.101408	0.00484296
1.08	-2.494736E-13	0.8756622	0.001021689	0.3490797	0.003654601	0.1392041	0.004703979	0.1143782	0.004828109	0.1019148	0.004890426
1.09	1.17971E-12	0.8856294	0.001021853	0.3589221	0.00365539	0.140309	0.004748455	0.1150087	0.004874957	0.1024211	0.004937895
1.1	1.189898E-12	0.8955965	0.001022018	0.3687757	0.003656121	0.1414338	0.004792831	0.1156408	0.004921796	0.1029268	0.004985366
1.11	-2.194323E-13	0.9055636	0.001022182	0.3786375	0.003656813	0.1425799	0.004837101	0.1162748	0.004968626	0.103432	0.00503284
1.12	-2.095056E-13	0.9155307	0.001022346	0.388505	0.003657475	0.1437485	0.004881257	0.1169107	0.005015446	0.1039368	0.005080316
1.13	1.219939E-12	0.9254978	0.001022511	0.3983766	0.003658117	0.1449413	0.004925294	0.1175487	0.005062256	0.1044412	0.005127794
1.14	1.229866E-12	0.935465	0.001022675	0.4082512	0.003658744	0.1461596	0.004969202	0.1181889	0.005109055	0.1049453	0.005175273
1.15	-1.794643E-13	0.9454321	0.001022839	0.4181279	0.00365936	0.1474054	0.005012973	0.1188315	0.005155843	0.1054492	0.005222754
1.16	-1.692764E-13	0.9553992	0.001023004	0.4280062	0.003659969	0.1486804	0.005056598	0.1194766	0.005202617	0.1059529	0.005270236
1.17	1.259907E-12	0.9653664	0.001023168	0.4378855	0.003660572	0.1499866	0.005100067	0.1201243	0.005249378	0.1064564	0.005317718
1.18	1.269834E-12	0.9753335	0.001023333	0.4477656	0.003661172	0.1513264	0.005143368	0.1207748	0.005296126	0.1069599	0.0053652
1.19	-1.39235E-13	0.9853006	0.001023497	0.4576463	0.003661769	0.1527021	0.005186489	0.1214283	0.005342858	0.1074634	0.005412683
1.2	-1.293083E-13	0.9952677	0.001023661	0.4675274	0.003662363	0.1541163	0.005229418	0.1220849	0.005389575	0.1079669	0.005460165
1.21	1.299875E-12	1.005235	0.001023826	0.4774088	0.003662956	0.1555722	0.005272139	0.1227448	0.005436276	0.1084705	0.005507648
1.22	1.310063E-12	1.015202	0.00102399	0.4872904	0.003663548	0.1570727	0.005314636	0.1234081	0.00548296	0.1089743	0.005555129
1.23	-9.9267E-14	1.025169	0.001024154	0.4971722	0.003664139	0.1586217	0.005356892	0.124075	0.005529625	0.1094783	0.005602608
1.24	-8.93403E-14	1.035136	0.001024319	0.507054	0.00366473	0.160223	0.005398885	0.1247456	0.005576272	0.1099825	0.005650087
1.25	1.340104E-12	1.045103	0.001024483	0.516936	0.00366532	0.161881	0.005440595	0.1254203	0.005622899	0.1104871	0.005697564
1.26	1.350031E-12	1.055071	0.001024647	0.526818	0.00366591	0.1636008	0.005481996	0.1260991	0.005669504	0.1109921	0.005745039
1.27	-5.929897E-14	1.065038	0.001024812	0.5367001	0.0036665	0.1653879	0.00552306	0.1267822	0.005716089	0.1114975	0.005792513
1.28	-4.911104E-14	1.075005	0.001024976	0.5465822	0.003667089	0.1672484	0.005563758	0.1274699	0.005762651	0.1120035	0.005839983
1.29	1.380072E-12	1.084972	0.001025141	0.5564643	0.003667679	0.1691894	0.005604052	0.1281623	0.005809188	0.11251	0.00588745
1.3	1.389999E-12	1.094939	0.001025305	0.5663463	0.003668268	0.1712188	0.005643906	0.1288597	0.005855701	0.1130171	0.005934915
1.31	-1.933094E-14	1.104906	0.001025469	0.5762285	0.003668858	0.1733456	0.005683271	0.1295622	0.005902189	0.1135249	0.005982376
1.32	-9.404242E-15	1.114873	0.001025634	0.5861107	0.003669447	0.17558	0.005722099	0.1302702	0.005948649	0.1140335	0.006029833
1.33	1.419779E-12	1.12484	0.001025798	0.5959928	0.003670036	0.1779337	0.00576033	0.1309839	0.005995081	0.1145428	0.006077286
1.34	1.429706E-12	1.134807	0.001025963	0.605875	0.003670625	0.18042	0.005797899	0.1317034	0.006041483	0.115053	0.006124735
1.35	2.063709E-14	1.144775	0.001026127	0.6157571	0.003671214	0.1830541	0.005834728	0.1324291	0.006087855	0.1155642	0.006172179
1.36	3.056379E-14	1.154742	0.001026291	0.6256393	0.003671804	0.1858535	0.005870731	0.1331612	0.006134194	0.1160764	0.006219618
